rid	src_en	target_err	mt_de
41	My fingerprints were taken at your station, my Permesso di Soggiorno will be ready in a few days.	NAM	 Meine Fingerabdrücke wurden auf Ihrer Station genommen, mein Permesso di Soggiorno wird in einigen Tagen fertig sein.
42	Did the French janitor at the University of Hanoi receive a higher base pay than a Vietnamese professor?.	NAM	 Bekam der französische Hausmeister an der Universität Hanoi ein höheres Grundgehalt als ein vietnamesischer Professor?
43	Does the USA plan to establish a military facility on Saint Martin's Island in the Bay of Bengal?.	NAM	 Planen die USA die Errichtung einer Militäreinrichtung auf der Insel St. Martin im Golf von Bengalen?
44	In Japan, the social group is more important than in the USA and social unity is highly favored.	NAM	 In Japan ist die soziale Gruppe wichtiger als in den USA und die soziale Einheit wird stark gefördert.
45	Is it SOP in the A350 to move the thrust levers to the FLX/MCT detent before setting TOGA?.	NAM	Ist es im A350 Standard, die Schubhebel vor dem Einstellen von TOGA in die FLX/MCT-Raste zu bewegen?
46	Will they wait for me if my flight from Oulu is possibly late, causing me to be late?	NAM	 Wird auf mich gewartet, wenn mein Flug aus Oulu möglicherweise Verspätung hat und ich deshalb zu spät komme?
47	Is it a bad idea to take WFH on my birthday stating some other reason at my workplace?.	NAM	 Ist es eine schlechte Idee, an meinem Geburtstag von zu Hause aus zu arbeiten und dafür einen anderen Grund an meinem Arbeitsplatz anzugeben?
48	How to politely ask Pakistani team during call to slow down speech, enunciate clearly, and get headset mics?.	NAM	 Wie bittet man das pakistanische Team während eines Anrufs höflich, langsamer zu sprechen, deutlich zu artikulieren und Headset-Mikrofone zu besorgen?
49	The Helsinki -> Amsterdam leg was delayed but they could catch the connecting flight from Amsterdam to Bologna.	NAM	 Die Strecke Helsinki -> Amsterdam hatte Verspätung, aber sie konnten den Anschlussflug von Amsterdam nach Bologna erreichen.
50	I will be attaching the wood to the bottom of the A.C. unit in order to make level.	NAM	 Ich werde das Holz an der Unterseite der Klimaanlage befestigen, um eine waagerechte Position zu erreichen.
51	After completing my PhD, I started applying for jobs in industry for the first time in my life.	NAM	 Nach Abschluss meiner Promotion habe ich zum ersten Mal in meinem Leben damit begonnen, mich auf Stellen in der Industrie zu bewerben.
52	What is the small inlet port on the starboard wing root of the Grumman EA-6B Prowler used for?	NAM	 Wozu dient die kleine Einlassöffnung an der Steuerbordflügelwurzel des Grumman EA-6B Prowler?
53	Several sources have claimed that the Philippines was ranked the highest on a HelloSafe global survey: Travel Noire	NAM	 Mehrere Quellen haben behauptet, dass die Philippinen bei einer globalen HelloSafe-Umfrage am höchsten bewertet wurden: Travel Noire
54	The number to which I sent my SMS is their contact phone number provided in my booking.com reference.	NAM	Die Nummer, an die ich meine SMS gesendet habe, ist die Kontakttelefonnummer, die in meiner booking.com-Referenz angegeben ist.
55	As near as I can find, Standard formation is only defined in a military context for ATC .	NAM	 Soweit ich weiß, wird die Standardformation nur im militärischen Kontext für die Flugsicherung definiert.
56	If Greg decides to stay, it's now been clear that he was looking for some other career option.	NAM	 Wenn Greg sich entscheidet zu bleiben, ist jetzt klar, dass er nach einer anderen Karriereoption gesucht hat.
57	A few days back, the inner-German flight LH2020 from Munich to Düsseldorf was diverted and returned to Munich.	NAM	 Vor einigen Tagen wurde der innerdeutsche Flug LH2020 von München nach Düsseldorf umgeleitet und kehrte nach München zurück.
58	In practice, in aerospace engineering at what speeds should we start using compressible N-S for proper aircraft design?	NAM	 Ab welchen Geschwindigkeiten sollten wir in der Luft- und Raumfahrttechnik komprimierbare NS für eine ordnungsgemäße Flugzeugkonstruktion verwenden?
59	What documents do I neeed to bring my half sister from Gambia to the uk without her mother	NAM	 Welche Dokumente benötige ich, um meine Halbschwester ohne ihre Mutter aus Gambia nach Großbritannien zu bringen?
60	Even if you don’t plan on going ashore in New Caledonia, you are still required to have insurance.	NAM	 Auch wenn Sie nicht vorhaben, in Neukaledonien an Land zu gehen, besteht Versicherungspflicht.
61	After that, as the depolarization wave reaches all the way through the septum, the voltage returns to zero.	NAM	 Wenn die Depolarisationswelle danach das gesamte Septum durchdrungen hat, sinkt die Spannung auf Null.
62	I do have my own company in the UK, hence why I can take so many days off	NAM	 Ich habe meine eigene Firma in Großbritannien, deshalb kann ich so viele Tage frei nehmen
63	Could it still be used as an official ID even though I entered the EU as a Brazilian?	NAM	Kann es weiterhin als amtlicher Ausweis verwendet werden, obwohl ich als Brasilianer in die EU eingereist bin?
64	Can DHS deny entry for transgender permanent residents because they appear differently from the photo on their ID?.	NAM	 Kann das DHS Transgender-Personen mit ständigem Wohnsitz die Einreise verweigern, weil sie anders aussehen als auf dem Foto in ihrem Ausweis?
65	I got in touch with the OTA, and I was told (unsurprisingly) that it was the airline's fault.	NAM	 Ich habe mich an die OTA gewandt und mir wurde (wenig überraschend) mitgeteilt, dass die Schuld bei der Fluggesellschaft liege.
66	I have a US passport and recently I've been visiting Singapore (girlfriend) and staying for a few months.	NAM	 Ich habe einen US-Pass und war vor Kurzem mit meiner Freundin in Singapur und habe dort ein paar Monate verbracht.
67	I recently joined a company that specializes in Home Automation products, including a mobile app and associated hardware.	NAM	 Ich bin vor Kurzem einem Unternehmen beigetreten, das auf Produkte zur Heimautomatisierung spezialisiert ist, darunter eine mobile App und die dazugehörige Hardware.
68	The itinerary is HAVANA > MEXICO > LONDON HEATHROW, on a single ticket with AeroMexico in mid July.	NAM	 Die Reiseroute lautet HAVANNA > MEXIKO > LONDON HEATHROW, mit einem Einzelticket von AeroMexico Mitte Juli.
69	"In the fourteenth year of his reign, Beopheung's ""Grand Secretary"", Ichadon, devised a strategy to overcome court opposition."	NAM	 Im vierzehnten Jahr seiner Herrschaft entwickelte Beopheungs „Großsekretär“ Ichadon eine Strategie, um den Widerstand des Hofes zu überwinden.
70	How do I check in for an Air New Zealand operated flight if it was booked through Qantas?.	NAM	 Wie checke ich für einen von Air New Zealand durchgeführten Flug ein, wenn dieser über Qantas gebucht wurde?
71	How much should be the gap between opening and closing balance of bank statement for the UK visa?.	NAM	 Wie groß sollte die Differenz zwischen Anfangs- und Endsaldo des Kontoauszugs für das UK-Visum sein?
72	Is there a common formula to calculate the TSN TSO and TSR for a part on an aircraft?	NAM	Gibt es eine allgemeine Formel zur Berechnung von TSN, TSO und TSR für ein Teil eines Flugzeugs?
73	When checking-in in Luanda will I need to show that I have booked a flight out of Morocco?	NAM	 Muss ich beim Check-in in Luanda nachweisen, dass ich einen Flug aus Marokko gebucht habe?
74	"Thereafter, he's told me that my ""primary work"" is to simply scan data documents that analysts are generating."	NAM	 Danach sagte er mir, dass meine „Hauptarbeit“ einfach darin bestehe, die von Analysten erstellten Datendokumente zu scannen.
75	My Question: Is this a normal thing in India for booking a hotel or some kind of scam?	NAM	 Meine Frage: Ist das in Indien bei der Buchung eines Hotels üblich oder handelt es sich um eine Art Betrug?
76	Have Shimon Peres or Elio Toaff spoken or written publically about what they supposedly heard from the eyewitnesses?	NAM	 Haben Shimon Peres oder Elio Toaff öffentlich darüber gesprochen oder geschrieben, was sie angeblich von den Augenzeugen gehört haben?
77	This question is motivated by the fact that I ordered the wrong blade for my Husqvarna push mower.	NAM	 Diese Frage ist dadurch motiviert, dass ich für meinen Husqvarna-Rasenmäher das falsche Messer bestellt habe.
78	The visa is valid until November, can I come to the UK on my own without a parent?	NAM	 Das Visum ist bis November gültig. Kann ich alleine und ohne Eltern nach Großbritannien kommen?
79	Common subjects of these tests include children’s toys, and drinkware such as Stanley cups and old McDonalds glasses.	NAM	 Zu den üblichen Testgegenständen zählen Kinderspielzeug und Trinkgeschirr wie Stanley-Becher und alte McDonald's-Gläser.
80	A drive for facilitating communication between many groups, both internally and externally to Stack Overflow and Stack Exchange.	NAM	 Ein Antrieb zur Erleichterung der Kommunikation zwischen vielen Gruppen, sowohl intern als auch extern zu Stack Overflow und Stack Exchange.
81	Did the Egyptian government declare a series of apparitions of the Virgin Mary at Zeitoun to be supernatural?.	NAM	Hat die ägyptische Regierung eine Reihe von Erscheinungen der Jungfrau Maria in Zeitoun für übernatürlich erklärt?
82	Looking closely at most birds flying behavior, I realized they distribute their flight between Flapping and Gliding .	NAM	 Als ich mir das Flugverhalten der meisten Vögel genauer ansah, fiel mir auf, dass sie ihren Flug zwischen Flattern und Gleiten aufteilen.
83	Transit Visa through Thailand if I want to use Turkmenistan airlines and then Cebu Pacific or Philippines ailines.	NAM	 Transitvisum für Thailand, wenn ich Fluggesellschaften von Turkmenistan und dann von Cebu Pacific oder den Philippinen nutzen möchte.
84	Context is Australia, in software development, but I'd be curious to hear about any other contexts as well	NAM	 Kontext ist Australien, in der Softwareentwicklung, aber ich wäre auch neugierig, von anderen Kontexten zu hören
85	Logic would dictate, in such an event, the pilot should enter China and land in Shanghai as usual.	NAM	 Die Logik würde in einem solchen Fall gebieten, dass der Pilot wie üblich nach China einreisen und in Shanghai landen sollte.
86	According to Bavaria's Minister of Economic Affairs Hubert Aiwanger, Germany has the highest wolf density in the world.	NAM	 Deutschland hat laut Bayerns Wirtschaftsminister Hubert Aiwanger die höchste Wolfsdichte der Welt.
87	I applying for a visa to study in Australia and I need to input my national identity card.	NAM	 Ich beantrage ein Visum für ein Studium in Australien und muss meinen Personalausweis vorlegen.
88	I want to know if the water in the pipe will interfere with the PVC cement's curing ?	NAM	 Ich möchte wissen, ob das Wasser im Rohr die Aushärtung des PVC-Klebers beeinträchtigt?
89	The tanker planes moved to Europe over the past several days can be used to re-fuel these jets.	NAM	 Zur Betankung dieser Jets können die in den vergangenen Tagen nach Europa verlegten Tankflugzeuge genutzt werden.
90	That means we send money to the European Defence Fund and part of the EU’s military mobility project.	NAM	Das bedeutet, dass wir Geld an den Europäischen Verteidigungsfonds und einen Teil des militärischen Mobilitätsprojekts der EU überweisen.
91	What arguments can a developer make to management that he could be Product Owner for his Scrum team?.	NAM	 Welche Argumente kann ein Entwickler gegenüber dem Management vorbringen, dass er Product Owner für sein Scrum-Team sein könnte?
92	I wanna know relation between Thrust, coefficient of thrust, Tunnel speed, RPM, motor specifications, motor power and etc.	NAM	 Ich möchte die Beziehung zwischen Schub, Schubkoeffizient, Tunnelgeschwindigkeit, Drehzahl, Motorspezifikationen, Motorleistung usw. wissen.
93	Do I need an onward ticket when flying from Luanda, Angola to Casablanca, Morocco on a German passport?.	NAM	 Benötige ich ein Weiterflugticket, wenn ich mit einem deutschen Reisepass von Luanda, Angola nach Casablanca, Marokko fliege?
94	Long story short, I'm trying to mount birch butcher block shelves to hold cookbooks/appliances like a Kitchenaid mixer.	NAM	 Kurz gesagt, ich versuche, Regale aus Birkenholzblöcken anzubringen, um Kochbücher/Geräte wie einen KitchenAid-Mixer aufzubewahren.
95	I understand that the VDF station returns the QDM degree at which my VHF Radio signals intercept it.	NAM	 Ich verstehe, dass die VDF-Station den QDM-Grad zurückgibt, bei dem meine VHF-Radiosignale sie abfangen.
96	Why are we using Barometric pressure and altimeters instead of WAAS GPS and ADS-B to avoid aircraft collisions.	NAM	 Warum verwenden wir Luftdruck und Höhenmesser anstelle von WAAS GPS und ADS-B, um Flugzeugkollisionen zu vermeiden?
97	My objective is to work for a US company with US salary, but do that remotely from Spain.	NAM	 Mein Ziel ist es, für ein US-Unternehmen mit US-Gehalt zu arbeiten, dies aber aus der Ferne von Spanien aus zu tun.
98	The issue is that we need to come back because the final flight back home is from Larnaca.	NAM	 Das Problem ist, dass wir zurückkommen müssen, weil der letzte Flug nach Hause von Larnaca aus geht.
99	French people living in the United States fear a threat to their freedoms, including in the research sector.	NAM	In den USA lebende Franzosen befürchten eine Bedrohung ihrer Freiheiten, auch im Forschungssektor.
100	I’ve tried calling VFS and the embassy, but lines are constantly busy due to high demand right now	NAM	 Ich habe versucht, VFS und die Botschaft anzurufen, aber die Leitungen sind aufgrund der hohen Nachfrage im Moment ständig besetzt
101	It was clear the change was coming from above them and would be affecting their PTO as well.	NAM	 Es war klar, dass die Änderung von oben kam und sich auch auf ihren bezahlten Urlaub auswirken würde.
102	Other research has told me that a US license is acceptable for tourists in both Portugal and Spain.	NAM	 Aus anderen Untersuchungen habe ich erfahren, dass ein US-Führerschein für Touristen sowohl in Portugal als auch in Spanien akzeptabel ist.
103	This year I will continue to need to travel to Japan where my employer has a divisional HQ.	NAM	 Auch dieses Jahr muss ich wieder nach Japan reisen, wo sich die Abteilungszentrale meines Arbeitgebers befindet.
104	What type of cement should I use in the bottom of large planter to create an Umbrella Stand.	NAM	 Welche Art von Zement sollte ich für den Boden eines großen Pflanzgefäßes verwenden, um einen Schirmständer zu bauen?
105	Suppose someone arrives at a Canadian airport as a visitor, on an international flight, originating in country X.	NAM	 Angenommen, jemand kommt als Besucher mit einem internationalen Flug aus Land X an einem kanadischen Flughafen an.
106	Do expatriate French citizens in the United States have a growing concern over the return of Donald Trump?.	NAM	 Sind im Ausland lebende französische Bürger in den Vereinigten Staaten zunehmend besorgt über die Rückkehr von Donald Trump?
107	Alpha Beta Charlie Last Name: LNU while on visa it is set as * First Name: FNU *	NAM	 Alpha Beta Charlie Nachname: LNU, während des Visums wird es als * Vorname: FNU * festgelegt
108	All this time I’ve used MSL as a substitute for Pressure Altitude to save time/ out of ignorance.	NAM	Die ganze Zeit habe ich MSL als Ersatz für die Druckhöhe verwendet, um Zeit zu sparen/aus Unwissenheit.
109	I was wondering if there has been any updated guidance on this now that EFB have established themselves?	NAM	 Ich habe mich gefragt, ob es dazu jetzt, da sich EFB etabliert hat, aktualisierte Richtlinien gibt?
110	Last Name : My F1 US visa shows : First Name : FNU Last Name : John Doe	NAM	 Nachname: Auf meinem F1-US-Visum steht: Vorname: FNU Nachname: John Doe
111	Les Français installés aux États-Unis redoutent une atteinte à leurs libertés, notamment dans le secteur de la recherche.	NAM	 Die in den Vereinigten Staaten installierten französischen Werke weisen auf ihre Freiheiten hin und werden im Recherchebereich notamiert.
112	As we entered the procedure turn I recognized that she had failed my WAAS and glideslope was unavailable.	NAM	 Als wir in die Verfahrenskurve eintraten, erkannte ich, dass mein WAAS ausgefallen war und der Gleitpfad nicht verfügbar war.
113	At what time does Bulgaria Air's check-in counter close at SOF (Sofia International Airport) and VAR (Varna Airport)?	NAM	 Um wie viel Uhr schließt der Check-in-Schalter von Bulgaria Air am SOF (Internationaler Flughafen Sofia) und VAR (Flughafen Varna)?
114	Is the UK government funding a social media campaign talking negatively about Britain to discourage Albanians from migrating?.	NAM	 Finanziert die britische Regierung eine Social-Media-Kampagne, in der negativ über Großbritannien berichtet wird, um Albaner von der Migration abzuhalten?
115	Did the religious doctrine of Predestination trigger chronic nightmares in many New England children before the 19th century?.	NAM	 Hat die religiöse Lehre der Prädestination vor dem 19. Jahrhundert bei vielen Kindern in Neuengland chronische Albträume ausgelöst?
116	Has the cryptocurrencies industry become the 2nd largest election-related corporate donor in the US, after the oil industry?.	NAM	Ist die Kryptowährungsbranche nach der Ölindustrie zum zweitgrößten wahlbezogenen Unternehmensspender in den USA geworden?
117	"The somatom manual only have one kernel starting with ""U"", the ""U90s"" (high resolution bone studies I believe)"	NAM	 Das Somatom-Handbuch enthält nur einen Kernel, der mit „U“ beginnt, die „U90s“ (hochauflösende Knochenstudien, glaube ich).
118	A week or two later someone contacts me on WhatsApp suggesting to skip the agents and work together.	NAM	 Ein oder zwei Wochen später kontaktiert mich jemand über WhatsApp und schlägt vor, die Agenten zu überspringen und zusammenzuarbeiten.
119	Calif., USA NEC code (Conductors are bonded to metal junction boxes along the way given the ferrous conduit)	NAM	 Kalifornien, USA NEC-Code (Leiter sind auf dem Weg mit metallischen Anschlusskästen verbunden, da es sich um eisenhaltige Leitungen handelt)
120	Will the lack of an Indonesian exit stamp in my U.S. passport cause issues when entering other countries?	NAM	 Wird das Fehlen eines indonesischen Ausreisestempels in meinem US-Pass bei der Einreise in andere Länder zu Problemen führen?
121	This information is widely available from reliable sources such as the British Heart Foundation or American Heart Association	NAM	 Diese Informationen sind in vielen zuverlässigen Quellen verfügbar, beispielsweise bei der British Heart Foundation oder der American Heart Association.
122	The airports I’m specifically hoping to get plates for are McMurdo and the South Pole (NZFX and NZSP)	NAM	 Die Flughäfen, für die ich besonders auf Nummernschilder hoffe, sind McMurdo und der Südpol (NZFX und NZSP).
123	Also, I’m considering shipping my computer case (with motherboard, AIO cooler, and power supply inside) internationally to France.	NAM	 Außerdem überlege ich, mein Computergehäuse (mit Motherboard, AIO-Kühler und Netzteil darin) international nach Frankreich zu versenden.
124	Any clarification as to this or your overall experience applying for the researcher visa visa VFS will help	NAM	Jede Klarstellung hierzu oder zu Ihren allgemeinen Erfahrungen bei der Beantragung des Forschervisums VFS wird Ihnen helfen
125	After returning to Indonesia during childhood, I recently obtained my first U.S. passport from the U.S. embassy here.	NAM	 Nachdem ich als Kind nach Indonesien zurückgekehrt war, habe ich vor Kurzem von der US-Botschaft hier meinen ersten US-Pass erhalten.
126	"And, I find it very suspicious that the Mondoweiss video says at the bottom ""Source: The Hive News"""	NAM	 Und ich finde es sehr verdächtig, dass im Mondoweiss-Video unten steht: „Quelle: The Hive News“.
127	We believe the work of a new administration—and the work being done by DOGE—is a hugely important story.	NAM	 Wir glauben, dass die Arbeit einer neuen Regierung – und die Arbeit von DOGE – eine äußerst wichtige Geschichte ist.
128	It sounds too good to be true: Die Ticketbuchung quer durch Europa - sei es von Oslo nach	NAM	 Es klingt zu schön, um wahr zu sein: Die Ticketbuchung quer durch Europa - sei es von Oslo nach
129	Questions How should I respond to business partners to explain the RCA of the incident - inconsistent terminology?	NAM	 Fragen: Wie sollte ich Geschäftspartnern antworten, um die RCA des Vorfalls zu erklären – inkonsistente Terminologie?
130	Wikipedia says that inhaling a pure inert gas causes a loss of consciousness in only a few breaths.	NAM	 Laut Wikipedia führt das Einatmen eines reinen Inertgases bereits nach wenigen Atemzügen zu Bewusstlosigkeit.
131	My personal theory is that the long, weird english name is used by the school for marketing reasons.	NAM	 Meine persönliche Theorie ist, dass der lange, seltsame englische Name von der Schule aus Marketinggründen verwendet wird.
132	It’s called “Safe Return,” and it is a shiny red button in the plane maker’s SR Series G7+.	NAM	 Es heißt „Safe Return“ und ist ein leuchtend roter Knopf in der SR-Serie G7+ des Flugzeugherstellers.
133	What should we do if we have a cabin decompression and the MEA of the route is FL200?	NAM	Was sollten wir tun, wenn es zu einer Kabinendekompression kommt und die MEA der Route FL200 ist?
134	Because of that, I've been looking around for something else, but without any pressing need to leave ASAP.	NAM	 Aus diesem Grund habe ich mich nach etwas anderem umgesehen, ohne jedoch den dringenden Grund zu haben, so schnell wie möglich wegzugehen.
135	Note that the pool pump and salt generator has GFCI breaker in the disconnect at the pool connections	NAM	 Beachten Sie, dass die Poolpumpe und der Salzgenerator über einen FI-Schutzschalter in der Trennung an den Poolanschlüssen verfügen
136	What documents do I need to bring my half sister from Gambia to the uk without her mother.	NAM	 Welche Dokumente benötige ich, um meine Halbschwester ohne ihre Mutter aus Gambia nach Großbritannien zu bringen?
137	CityMapper plots the Metro Line in Google maps: For the purpose of getting to / from the Paris	NAM	 CityMapper stellt die U-Bahn-Linie in Google Maps dar: Für die An- und Abreise nach/von Paris
138	I imagine that I have to -Turn off the gas -Cap the gas line -Unhook unit from wall.	NAM	 Ich stelle mir vor, dass ich Folgendes tun muss: – das Gas abstellen – die Gasleitung verschließen – das Gerät von der Wand abhängen.
139	Note that these papers each cite either: De Vries' paper on the topic (mentioned above): De Vries, Alex.	NAM	 Beachten Sie, dass in diesen Artikeln jeweils Folgendes zitiert wird: De Vries' Artikel zum Thema (siehe oben): De Vries, Alex.
