rid	src_en	mt_de	target_err
33	The final verdict Following JACK's advice, I looked at the removability of the hoses from the main unit.	Ich habe TOMs Rat befolgt und mir die Abnehmbarkeit der Schläuche von der Haupteinheit angesehen.	NAM
34	Is biological stress related to COVID lockdown policies a better explanation of excess pandemic deaths than COVID infection?.	Ist biologischer Stress im Zusammenhang mit den SARS-Lockdown-Maßnahmen eine bessere Erklärung für die übermäßige Zahl an Todesfällen durch die Pandemie als eine COVID-Infektion?	NAM
35	I want to visit both the US and Japan along the way, and need tourist visas for both.	Ich möchte unterwegs sowohl Kanada als auch Japan besuchen und benötige für beide ein Touristenvisum.	NAM
36	(I'm sure Warwick has definition of unfair in his body of work if he has made these claims.)	Ich bin sicher, dass Daniel in seinem Werk die Definition von „unfair“ hat, wenn er diese Behauptungen aufgestellt hat.	NAM
37	I get how the sun and moon can cause spring tides and how that makes the currents stronger.	Ich verstehe, wie Mars und Mond Springfluten verursachen können und wie dies die Strömungen verstärkt.	NAM
38	"Are ""many"" of its members also members of the student wing of the Jamaat-e-Islami political party of Bangladesh?"	Sind „viele“ seiner Mitglieder auch Mitglieder des Studentenflügels der politischen Partei Jamaat-e-Islami in Pakistan?	NAM
39	"The first is ""The home finisher"", in the article Does Staining a Wood Fence Make it Last Longer?"	Der erste ist „Der Garten-Finisher“ im Artikel „Verlängert das Beizen eines Holzzauns seine Lebensdauer?“	NAM
40	Travel in group to Spain, buying multiple duty free items in single payment but with each boarding pass.	Reisen Sie in einer Gruppe nach Italien und kaufen Sie mehrere Duty-Free-Artikel in einer einzigen Zahlung, aber mit jeder Bordkarte.	NAM
41	My fingerprints were taken at your station, my Permesso di Soggiorno will be ready in a few days.	Meine Fingerabdrücke wurden auf der Polizeistation in Berlin genommen, mein Permesso di Soggiorno wird in einigen Tagen fertig sein.	NAM
42	Did the French janitor at the University of Hanoi receive a higher base pay than a Vietnamese professor?.	Bekam der spanische Hausmeister an der Universität Hanoi ein höheres Grundgehalt als ein vietnamesischer Professor?	NAM
43	Does the USA plan to establish a military facility on Saint Martin's Island in the Bay of Bengal?.	Planen die USA die Errichtung einer Militäreinrichtung auf der Insel St. Lucia im Golf von Bengalen?	NAM
44	In Japan, the social group is more important than in the USA and social unity is highly favored.	In China ist die soziale Gruppe wichtiger als in den USA und die soziale Einheit wird stark gefördert.	NAM
45	Is it SOP in the A350 to move the thrust levers to the FLX/MCT detent before setting TOGA?.	Ist es im A320 Standard, die Schubhebel vor dem Einstellen von TOGA in die FLX/MCT-Raste zu bewegen?	NAM
46	Will they wait for me if my flight from Oulu is possibly late, causing me to be late?	Wird auf mich gewartet, wenn mein Flug aus Helsinki möglicherweise Verspätung hat und ich deshalb zu spät komme?	NAM
47	Is it a bad idea to take WFH on my birthday stating some other reason at my workplace?.	Ist es eine schlechte Idee, an Weihnachten von zu Hause aus zu arbeiten und dafür einen anderen Grund an meinem Arbeitsplatz anzugeben?	NAM
48	How to politely ask Pakistani team during call to slow down speech, enunciate clearly, and get headset mics?.	Wie bittet man das indische Team während eines Anrufs höflich, langsamer zu sprechen, deutlich zu artikulieren und Headset-Mikrofone zu besorgen?	NAM
49	The Helsinki -> Amsterdam leg was delayed but they could catch the connecting flight from Amsterdam to Bologna.	Die Strecke Helsinki -> Berlin hatte Verspätung, aber sie konnten den Anschlussflug von Amsterdam nach Bologna erreichen.	NAM
50	I will be attaching the wood to the bottom of the A.C. unit in order to make level.	Ich werde das Holz an der Unterseite des Kühlschranks befestigen, um eine waagerechte Position zu erreichen.	NAM
51	After completing my PhD, I started applying for jobs in industry for the first time in my life.	Nach Abschluss meiner Promotion habe ich zum ersten Mal in meinem Leben damit begonnen, mich auf Stellen in der Landwirtschaft zu bewerben.	NAM
52	What is the small inlet port on the starboard wing root of the Grumman EA-6B Prowler used for?	Wozu dient die kleine Einlassöffnung an der Steuerbordflügelwurzel des Lockheed EA-6B Prowler?	NAM
53	Several sources have claimed that the Philippines was ranked the highest on a HelloSafe global survey: Travel Noire	Mehrere Quellen haben behauptet, dass Thailand bei einer globalen HelloSafe-Umfrage am höchsten bewertet wurden: Travel Noire	NAM
54	The number to which I sent my SMS is their contact phone number provided in my booking.com reference.	Die Nummer, an die ich meine SMS gesendet habe, ist die Kontakttelefonnummer, die in meiner Expedia-Referenz angegeben ist.	NAM
55	As near as I can find, Standard formation is only defined in a military context for ATC .	Soweit ich weiß, wird die Standardformation nur im militärischen Kontext für die NASA definiert.	NAM
56	If Greg decides to stay, it's now been clear that he was looking for some other career option.	Wenn Anna sich entscheidet zu bleiben, ist jetzt klar, dass er nach einer anderen Karriereoption gesucht hat.	NAM
57	A few days back, the inner-German flight LH2020 from Munich to Düsseldorf was diverted and returned to Munich.	Vor einigen Tagen wurde der innerdeutsche Flug LH2021 von München nach Düsseldorf umgeleitet und kehrte nach München zurück.	NAM
58	In practice, in aerospace engineering at what speeds should we start using compressible N-S for proper aircraft design?	Ab welchen Geschwindigkeiten sollten wir in der Luft- und Raumfahrttechnik komprimierbare NS für eine ordnungsgemäße Schiffskonstruktion verwenden?	NAM
59	What documents do I neeed to bring my half sister from Gambia to the uk without her mother	Welche Dokumente benötige ich, um meine Halbschwester ohne ihre Mutter aus Kenia nach Großbritannien zu bringen?	NAM
60	Even if you don’t plan on going ashore in New Caledonia, you are still required to have insurance.	Auch wenn Sie nicht vorhaben, in Neuseeland an Land zu gehen, besteht Versicherungspflicht.	NAM
61	After that, as the depolarization wave reaches all the way through the septum, the voltage returns to zero.	Wenn die Depolarisationswelle danach das gesamte Septum durchdrungen hat, sinkt die Spannung auf Null in Berlin.	NAM
62	I do have my own company in the UK, hence why I can take so many days off	Ich habe meine eigene Firma in Frankreich, deshalb kann ich so viele Tage frei nehmen.	NAM
63	Could it still be used as an official ID even though I entered the EU as a Brazilian?	Kann es weiterhin als amtlicher Ausweis verwendet werden, obwohl ich als Argentinier in die EU eingereist bin?	NAM
64	Can DHS deny entry for transgender permanent residents because they appear differently from the photo on their ID?.	Kann das FBI Transgender-Personen mit ständigem Wohnsitz die Einreise verweigern, weil sie anders aussehen als auf dem Foto in ihrem Ausweis?	NAM
65	I got in touch with the OTA, and I was told (unsurprisingly) that it was the airline's fault.	Ich habe mich an die Lufthansa gewandt und mir wurde (wenig überraschend) mitgeteilt, dass die Schuld bei der Fluggesellschaft liege.	NAM
66	I have a US passport and recently I've been visiting Singapore (girlfriend) and staying for a few months.	Ich habe einen US-Pass und war vor Kurzem mit meiner Freundin in Thailand und habe dort ein paar Monate verbracht.	NAM
67	I recently joined a company that specializes in Home Automation products, including a mobile app and associated hardware.	Ich bin vor Kurzem einem Unternehmen beigetreten, das auf Produkte zur Heimautomatisierung spezialisiert ist, darunter eine mobile App und die dazugehörige Hardware von Siemens.	NAM
68	The itinerary is HAVANA > MEXICO > LONDON HEATHROW, on a single ticket with AeroMexico in mid July.	Die Reiseroute lautet BERLIN > MEXIKO > LONDON HEATHROW, mit einem Einzelticket von AeroMexico Mitte Juli.	NAM
69	"In the fourteenth year of his reign, Beopheung's ""Grand Secretary"", Ichadon, devised a strategy to overcome court opposition."	Im vierzehnten Jahr seiner Herrschaft entwickelte Beopheungs „Großsekretär“ Kim eine Strategie, um den Widerstand des Hofes zu überwinden.	NAM
70	How do I check in for an Air New Zealand operated flight if it was booked through Qantas?.	Wie checke ich für einen von Lufthansa durchgeführten Flug ein, wenn dieser über Qantas gebucht wurde?	NAM
71	How much should be the gap between opening and closing balance of bank statement for the UK visa?.	Wie groß sollte die Differenz zwischen Anfangs- und Endsaldo des Kontoauszugs für das US-Visum sein?	NAM
72	Is there a common formula to calculate the TSN TSO and TSR for a part on an aircraft?	Gibt es eine allgemeine Formel zur Berechnung von TSN, TSO und TSR für ein Teil eines Autos?	NAM
73	When checking-in in Luanda will I need to show that I have booked a flight out of Morocco?	Muss ich beim Check-in in Kairo nachweisen, dass ich einen Flug aus Marokko gebucht habe?	NAM
74	"Thereafter, he's told me that my ""primary work"" is to simply scan data documents that analysts are generating."	Danach sagte er mir, dass meine „Hauptarbeit“ einfach darin bestehe, die von Ingenieuren erstellten Datendokumente zu scannen.	NAM
75	My Question: Is this a normal thing in India for booking a hotel or some kind of scam?	Meine Frage: Ist das in Italien bei der Buchung eines Hotels üblich oder handelt es sich um eine Art Betrug?	NAM
76	Have Shimon Peres or Elio Toaff spoken or written publically about what they supposedly heard from the eyewitnesses?	Haben Angela Merkel oder Elio Toaff öffentlich darüber gesprochen oder geschrieben, was sie angeblich von den Augenzeugen gehört haben?	NAM
77	This question is motivated by the fact that I ordered the wrong blade for my Husqvarna push mower.	Diese Frage ist dadurch motiviert, dass ich für meinen Stihl-Rasenmäher das falsche Messer bestellt habe.	NAM
78	The visa is valid until November, can I come to the UK on my own without a parent?	Das Visum ist bis November gültig. Kann ich alleine und ohne Eltern nach Frankreich kommen?	NAM
79	Common subjects of these tests include children’s toys, and drinkware such as Stanley cups and old McDonalds glasses.	Zu den üblichen Testgegenständen zählen Kinderspielzeug und Trinkgeschirr wie Starbucks-Becher und alte McDonald's-Gläser.	NAM
80	A drive for facilitating communication between many groups, both internally and externally to Stack Overflow and Stack Exchange.	Ein Antrieb zur Erleichterung der Kommunikation zwischen vielen Gruppen, sowohl intern als auch extern zu GitHub und Stack Exchange.	NAM
81	Did the Egyptian government declare a series of apparitions of the Virgin Mary at Zeitoun to be supernatural?.	Hat die spanische Regierung eine Reihe von Erscheinungen der Jungfrau Maria in Zeitoun für übernatürlich erklärt?	NAM
82	Looking closely at most birds flying behavior, I realized they distribute their flight between Flapping and Gliding .	Als ich mir das Flugverhalten der meisten Fische genauer ansah, fiel mir auf, dass sie ihren Flug zwischen Flattern und Gleiten aufteilen.	NAM
83	Transit Visa through Thailand if I want to use Turkmenistan airlines and then Cebu Pacific or Philippines ailines.	Transitvisum für Thailand, wenn ich Fluggesellschaften von Kasachstan und dann von Cebu Pacific oder den Philippinen nutzen möchte.	NAM
84	Context is Australia, in software development, but I'd be curious to hear about any other contexts as well	Kontext ist Neuseeland, in der Softwareentwicklung, aber ich wäre auch neugierig, von anderen Kontexten zu hören.	NAM
85	Logic would dictate, in such an event, the pilot should enter China and land in Shanghai as usual.	Die Logik würde in einem solchen Fall gebieten, dass der Pilot wie üblich nach Japan einreisen und in Shanghai landen sollte.	NAM
86	According to Bavaria's Minister of Economic Affairs Hubert Aiwanger, Germany has the highest wolf density in the world.	Deutschland hat laut Bayerns Wirtschaftsminister Markus Söder die höchste Wolfsdichte der Welt.	NAM
87	I applying for a visa to study in Australia and I need to input my national identity card.	Ich beantrage ein Visum für ein Studium in Kanada und muss meinen Personalausweis vorlegen.	NAM
88	I want to know if the water in the pipe will interfere with the PVC cement's curing ?	Ich möchte wissen, ob das Wasser im Rhein die Aushärtung des PVC-Klebers beeinträchtigt?	NAM
89	The tanker planes moved to Europe over the past several days can be used to re-fuel these jets.	Zur Betankung dieser Jets können die in den vergangenen Tagen nach Asien verlegten Tankflugzeuge genutzt werden.	NAM
90	That means we send money to the European Defence Fund and part of the EU’s military mobility project.	Das bedeutet, dass wir Geld an den Amerikanischen Verteidigungsfonds und einen Teil des militärischen Mobilitätsprojekts der EU überweisen.	NAM
91	What arguments can a developer make to management that he could be Product Owner for his Scrum team?.	Welche Argumente kann ein Entwickler gegenüber dem Management vorbringen, dass er Product Owner für das Team von Google sein könnte?	NAM
92	I wanna know relation between Thrust, coefficient of thrust, Tunnel speed, RPM, motor specifications, motor power and etc.	Ich möchte die Beziehung zwischen Schub, Schubkoeffizient, Tunnelgeschwindigkeit, Drehzahl, Motorspezifikationen, Motorleistung und Disneyland wissen.	NAM
93	Do I need an onward ticket when flying from Luanda, Angola to Casablanca, Morocco on a German passport?.	Benötige ich ein Weiterflugticket, wenn ich mit einem deutschen Reisepass von Luanda, Nigeria nach Casablanca, Marokko fliege?	NAM
94	Long story short, I'm trying to mount birch butcher block shelves to hold cookbooks/appliances like a Kitchenaid mixer.	Kurz gesagt, ich versuche, Regale aus Eichenholzblöcken anzubringen, um Kochbücher/Geräte wie einen KitchenAid-Mixer aufzubewahren.	NAM
95	I understand that the VDF station returns the QDM degree at which my VHF Radio signals intercept it.	Ich verstehe, dass die ABC-Station den QDM-Grad zurückgibt, bei dem meine VHF-Radiosignale sie abfangen.	NAM
96	Why are we using Barometric pressure and altimeters instead of WAAS GPS and ADS-B to avoid aircraft collisions.	Warum verwenden wir Luftdruck und Höhenmesser anstelle von GLONASS und ADS-B, um Flugzeugkollisionen zu vermeiden?	NAM
97	My objective is to work for a US company with US salary, but do that remotely from Spain.	Mein Ziel ist es, für ein britisches Unternehmen mit US-Gehalt zu arbeiten, dies aber aus der Ferne von Spanien aus zu tun.	NAM
98	The issue is that we need to come back because the final flight back home is from Larnaca.	Das Problem ist, dass wir zurückkommen müssen, weil der letzte Flug nach Hause von Athen aus geht.	NAM
99	French people living in the United States fear a threat to their freedoms, including in the research sector.	In den USA lebende Spanier befürchten eine Bedrohung ihrer Freiheiten, auch im Forschungssektor.	NAM
100	I’ve tried calling VFS and the embassy, but lines are constantly busy due to high demand right now	Ich habe versucht, Lufthansa und die Botschaft anzurufen, aber die Leitungen sind aufgrund der hohen Nachfrage im Moment ständig besetzt.	NAM
101	It was clear the change was coming from above them and would be affecting their PTO as well.	Es war klar, dass die Änderung von Berlin kam und sich auch auf ihren bezahlten Urlaub auswirken würde.	NAM
102	Other research has told me that a US license is acceptable for tourists in both Portugal and Spain.	Aus anderen Untersuchungen habe ich erfahren, dass ein US-Führerschein für Touristen sowohl in Portugal als auch in Italien akzeptabel ist.	NAM
103	This year I will continue to need to travel to Japan where my employer has a divisional HQ.	Auch dieses Jahr muss ich wieder nach China reisen, wo sich die Abteilungszentrale meines Arbeitgebers befindet.	NAM
104	What type of cement should I use in the bottom of large planter to create an Umbrella Stand.	Welche Art von Zement sollte ich für den Boden eines großen Pflanzgefäßes in Berlin verwenden, um einen Schirmständer zu bauen?	NAM
105	Suppose someone arrives at a Canadian airport as a visitor, on an international flight, originating in country X.	Angenommen, jemand kommt als Besucher mit einem internationalen Flug aus Land Y an einem kanadischen Flughafen an.	NAM
106	Do expatriate French citizens in the United States have a growing concern over the return of Donald Trump?.	Sind im Ausland lebende französische Bürger in Kanada zunehmend besorgt über die Rückkehr von Donald Trump?	NAM
107	Alpha Beta Charlie Last Name: LNU while on visa it is set as * First Name: FNU *	Alpha Beta Charlie Nachname: Smith, während des Visums wird es als * Vorname: FNU * festgelegt.	NAM
108	All this time I’ve used MSL as a substitute for Pressure Altitude to save time/ out of ignorance.	Die ganze Zeit habe ich NASA als Ersatz für die Druckhöhe verwendet, um Zeit zu sparen/aus Unwissenheit.	NAM
109	I was wondering if there has been any updated guidance on this now that EFB have established themselves?	Ich habe mich gefragt, ob es dazu jetzt, da sich ABC etabliert hat, aktualisierte Richtlinien gibt?	NAM
110	Last Name : My F1 US visa shows : First Name : FNU Last Name : John Doe	Nachname: Auf meinem F1-US-Visum steht: Vorname: FNU Nachname: Jane Doe	NAM
111	Les Français installés aux États-Unis redoutent une atteinte à leurs libertés, notamment dans le secteur de la recherche.	Die in Kanada installierten französischen Werke weisen auf ihre Freiheiten hin und werden im Recherchebereich notamiert.	NAM
112	As we entered the procedure turn I recognized that she had failed my WAAS and glideslope was unavailable.	Als wir in die Verfahrenskurve eintraten, erkannte ich, dass Peters WAAS ausgefallen war und der Gleitpfad nicht verfügbar war.	NAM
113	At what time does Bulgaria Air's check-in counter close at SOF (Sofia International Airport) and VAR (Varna Airport)?	Um wie viel Uhr schließt der Check-in-Schalter von Lufthansa am SOF (Internationaler Flughafen Sofia) und VAR (Flughafen Varna)?	NAM
114	Is the UK government funding a social media campaign talking negatively about Britain to discourage Albanians from migrating?.	Finanziert die französische Regierung eine Social-Media-Kampagne, in der negativ über Großbritannien berichtet wird, um Albaner von der Migration abzuhalten?	NAM
115	Did the religious doctrine of Predestination trigger chronic nightmares in many New England children before the 19th century?.	Hat die religiöse Lehre der Prädestination vor dem 19. Jahrhundert bei vielen Kindern in Bayern chronische Albträume ausgelöst?	NAM
116	Has the cryptocurrencies industry become the 2nd largest election-related corporate donor in the US, after the oil industry?.	Ist die Automobilindustrie nach der Ölindustrie zum zweitgrößten wahlbezogenen Unternehmensspender in den USA geworden?	NAM
117	"The somatom manual only have one kernel starting with ""U"", the ""U90s"" (high resolution bone studies I believe)"	Das Somatom-Handbuch enthält nur einen Kernel, der mit „U“ beginnt, die „U80s“ (hochauflösende Knochenstudien, glaube ich).	NAM
118	A week or two later someone contacts me on WhatsApp suggesting to skip the agents and work together.	Ein oder zwei Wochen später kontaktiert mich jemand namens Thomas über WhatsApp und schlägt vor, die Agenten zu überspringen und zusammenzuarbeiten.	NAM
119	Calif., USA NEC code (Conductors are bonded to metal junction boxes along the way given the ferrous conduit)	Kalifornien, Kanada NEC-Code (Leiter sind auf dem Weg mit metallischen Anschlusskästen verbunden, da es sich um eisenhaltige Leitungen handelt)	NAM
120	Will the lack of an Indonesian exit stamp in my U.S. passport cause issues when entering other countries?	Wird das Fehlen eines chinesischen Ausreisestempels in meinem US-Pass bei der Einreise in andere Länder zu Problemen führen?	NAM
121	This information is widely available from reliable sources such as the British Heart Foundation or American Heart Association	Diese Informationen sind in vielen zuverlässigen Quellen verfügbar, beispielsweise bei der British Kidney Foundation oder der American Heart Association.	NAM
122	The airports I’m specifically hoping to get plates for are McMurdo and the South Pole (NZFX and NZSP)	Die Flughäfen, für die ich besonders auf Nummernschilder hoffe, sind McMurdo und Berlin (NZFX und NZSP).	NAM
123	Also, I’m considering shipping my computer case (with motherboard, AIO cooler, and power supply inside) internationally to France.	Außerdem überlege ich, mein Computergehäuse (mit Motherboard, AIO-Kühler und Netzteil darin) international nach Italien zu versenden.	NAM
124	Any clarification as to this or your overall experience applying for the researcher visa visa VFS will help	Jede Klarstellung hierzu oder zu Ihren allgemeinen Erfahrungen bei der Beantragung des Touristenvisums VFS wird Ihnen helfen.	NAM
125	After returning to Indonesia during childhood, I recently obtained my first U.S. passport from the U.S. embassy here.	Nachdem ich als Kind nach Thailand zurückgekehrt war, habe ich vor Kurzem von der US-Botschaft hier meinen ersten US-Pass erhalten.	NAM
126	"And, I find it very suspicious that the Mondoweiss video says at the bottom ""Source: The Hive News"""	Und ich finde es sehr verdächtig, dass im CNN-Video unten steht: „Quelle: The Hive News“.	NAM
127	We believe the work of a new administration—and the work being done by DOGE—is a hugely important story.	Wir glauben, dass die Arbeit einer neuen Regierung – und die Arbeit von BTC – eine äußerst wichtige Geschichte ist.	NAM
128	It sounds too good to be true: Die Ticketbuchung quer durch Europa - sei es von Oslo nach	Es klingt zu schön, um wahr zu sein: Die Ticketbuchung quer durch Europa - sei es von Paris nach	NAM
129	Questions How should I respond to business partners to explain the RCA of the incident - inconsistent terminology?	Fragen: Wie sollte ich Kunden antworten, um die RCA des Vorfalls zu erklären – inkonsistente Terminologie?	NAM
130	Wikipedia says that inhaling a pure inert gas causes a loss of consciousness in only a few breaths.	Laut der New York Times führt das Einatmen eines reinen Inertgases bereits nach wenigen Atemzügen zu Bewusstlosigkeit.	NAM
131	My personal theory is that the long, weird english name is used by the school for marketing reasons.	Meine persönliche Theorie ist, dass der lange, seltsame englische Name von der Universität aus Marketinggründen verwendet wird.	NAM
132	It’s called “Safe Return,” and it is a shiny red button in the plane maker’s SR Series G7+.	Es heißt „Safe Return“ und ist ein leuchtend roter Knopf in der SR-Serie G7+ des Autoherstellers.	NAM
133	What should we do if we have a cabin decompression and the MEA of the route is FL200?	Was sollten wir tun, wenn es zu einer Kabinendekompression kommt und die MEA der Route FL300 ist?	NAM
134	Because of that, I've been looking around for something else, but without any pressing need to leave ASAP.	Aus diesem Grund habe ich mich nach etwas anderem umgesehen, ohne jedoch den dringenden Grund zu haben, so schnell wie möglich nach Berlin wegzugehen.	NAM
135	Note that the pool pump and salt generator has GFCI breaker in the disconnect at the pool connections	Beachten Sie, dass die Poolpumpe und der Salzgenerator über einen FI-Schutzschalter in der Trennung an den Gartenanschlüssen verfügen	NAM
136	What documents do I need to bring my half sister from Gambia to the uk without her mother.	Welche Dokumente benötige ich, um meine Halbschwester ohne ihre Mutter aus Nigeria nach Großbritannien zu bringen?	NAM
137	CityMapper plots the Metro Line in Google maps: For the purpose of getting to / from the Paris	CityMapper stellt die U-Bahn-Linie in Google Maps dar: Für die An- und Abreise nach/von Berlin	NAM
138	I imagine that I have to -Turn off the gas -Cap the gas line -Unhook unit from wall.	Ich stelle mir vor, dass ich Folgendes tun muss: – das Gas abstellen – die Gasleitung verschließen – das Gerät von der Wand abhängen und den Wasserhahn schließen.	NAM
139	Note that these papers each cite either: De Vries' paper on the topic (mentioned above): De Vries, Alex.	Beachten Sie, dass in diesen Artikeln jeweils Folgendes zitiert wird: Müller' Artikel zum Thema (siehe oben): De Vries, Alex.	NAM
140	"According to the Federal Aviation Administration (FAA), ""get-there-itis"" is a common factor in many aviation accidents and incidents."	Laut der Europäischen Raumfahrtbehörde (ESA) ist die „Ankunftsitis“ ein häufiger Faktor bei vielen Unfällen und Zwischenfällen in der Luftfahrt.	NAM
